,Extract by Threshold,임계값으로 추출,Extract by Threshold,重要な値として抽出します,通过 Threshold 提取,Mengekstraksi sebagai nilai kritis,Извлечение в качестве критического значения,Extraindo como um valor crítico,Виділення за порогом
,Use Erode,침식 사용 (굵은 글씨체일때 사용),Use Erode (use when it is a bold font),侵食の使用（厚いフォントの場合に使用）,使用 Erode（用于粗体字体）,Penggunaan erosi (gunakan saat ini adalah font yang tebal),"Использование эрозии (используйте, когда это толстый шрифт)",Uso de erosão (use quando for uma fonte grossa),Використання ерозії (для напівжирного тексту)
,Preview Img Result,보정 결과 확인하기,Preview Adjust Result,修正結果を確認します,检查校正结果,Memeriksa hasil koreksi,Проверка результата коррекции,Verificando o resultado da correção,Перевірка результатів калібрування
,Img Group,범위 그룹,Range group,範囲グループ,范围分组,Kelompok jangkauan,Диапазон группы,Grupo Range,Групи діапазонів
,Img Group Count,그룹 수 :,Group Number:,グループ番号：,组数：,Nomor grup:,Номер группы:,Número do grupo:,Кількість груп:
,Font Setting,폰트설정,Font setting,フォント設定,字体设置,Pengaturan Font,Настройка шрифта,Configuração da fonte,Шрифт
,Label Font,글꼴 :,Font:,フォント：,字体：,Font:,Шрифт:,Fonte:,Шрифт :
,Label Font Size,크기 :,Size :,サイズ ：,大小：,ukuran :,размер :,tamanho :,Розмір :
,Common Color,색,Color,色,颜色,warna,цвет,cor,Колір
,Font Basic Color,색상,Color,色,颜色,warna,цвет,cor,Колір
,Font Outline Color 1,외곽선1,Outline1,外側1,外边框1,Luar 1,Внешний 1,Exterior 1,Контур1
,Font Outline Color 2,외곽선2,Oulinte2,外側2,外边框2,Luar 2,Внешний 2,Exterior 2,Контур2
,Font Background Color,배경색,Background,背景色,背景颜色,Warna latar belakang,Фоновый цвет,Cor de fundo,Колір фону
,Set Default Color,기본색으로,Set Default Color,基本的に色,默认颜色,Pada dasarnya warna,В основном цвет,Basicamente cor,Колір за замовчуванням
,HotKey,단축키,Hot Key,ショートカット,快捷键,Jalan pintas,Ярлык,Atalho,Комбінації клавіш
,HotKey Dic,교정 사전 열기 : ,Proofreading :,修正が開けられます：,打开校对字典：,Koreksi Pra -Open:,Коррекция до -опен:,Correção pré -abertura:,Відкрити словник коректури :
,HotKey Do Trans,번역 시작/중지 : ,Translate On/Off :,翻訳の始まり/停止：,开始/停止翻译：,Awal Terjemahan/Berhenti:,Начало перевода/остановки:,Início da tradução/parada:,Почати/зупинити переклад :
,HotKey Quick OCR,빠른 OCR 영역 :,Quick OCR area :,高速OCRエリア：,快速OCR区域：,Area OCR cepat:,Быстрая зона OCR:,Área rápida de OCR:,Область швидкого розпізнавання тексту :
,HotKey Snap Shot,스냅샷 :,Snapshot :,スナップショット：,快照：,Foto:,Снимок:,Instantâneo:,Знімок :
,HotKey Once Translate,한 번만 번역 :,Once translated :,翻訳後：,仅翻译一次：,Setelah diterjemahkan:,После перевода:,Uma vez traduzido:,Перекласти тільки один раз :
,HotKey Hide Trnas Window,번역창 숨기기 : ,Hide translation :,翻訳ウィンドウを非表示：,隐藏翻译窗口：,Sembunyikan Jendela Terjemahan:,Скрыть окно перевода:,Ocultar a janela de tradução:,Приховати вікно перекладу :
,HotKey Information,"ESC, 백스페이바로 비울 수 있습니다.","You can empty it with ESC, backspaba.",ESCは、backspabaで空にすることができます。,可使用ESC或退格键清除,ESC bisa kosong dengan Backspaba.,ESC может быть пустым с Backspaba.,ESC pode estar vazio com backspaba.,"Можна очистити за допомогою ESC, Backspace."
,Common Clear,비우기,Empty,空になる,清空,Endapan,Опустошение,Esvaziando,Порожній
,Common ETC,그 외,ETC,等,其它,dll.,и т. д.,etc.,Інше
,Mort Guide,MORT 사용법,MORT - How to Use,モートの使用,使用MORT的指南,Penggunaan mort,Использование Mort,Uso de mort,Як користуватися MORT
,Error List,에러 메세지 목록,Error Message List,エラーメッセージリスト,错误消息列表,Daftar Pesan Kesalahan,Список сообщений об ошибке,Lista de mensagens de erro,Список повідомлень про помилки
,Link,링크,Link,リンク,链接,tautan,связь,link,Посилання
,Link Github,Github로 이동,Github,Githubに移動します,转到Github,Pergi ke GitHub,Перейти к GitHub,Vá para o Github,Перейти на Github
,Link Blog,블로그 방문,Blog,ブログ訪問,访问博客,Kunjungan blog,Посещение блога,Visita ao blog,Відвідати блог
,Link Discord,디스코드 채널로 이동,Discord,不一致チャンネルに移動します,转到Discord频道,Pindah ke saluran Perselisihan,Перейти на канал Discord,Mover para o canal Discord,Перейти до Discord
,Label Quick Setting,어느 게임을 번역하시나요?,Which game do you translate?,どのゲームを翻訳しますか？,你希望翻译哪种游戏？,Game mana yang Anda terjemahkan?,Какую игру вы переводите?,Qual jogo você traduz?,Які ігри ви перекладаєте?
,Quick Setting En,영문 게임,English game,英語のゲーム,英文游戏,Game Inggris,Английская игра,Jogo em inglês,Англійські ігри
,Quick Setting Jap,일본어 게임,Japanese game,日本のゲーム,日文游戏,Game Jepang,Японская игра,Jogo japonês,Японські ігри
,Quick Setting Information,처음 사용자를 위한 설정값을 불러옵니다,Load the setting value for the first user,最初のユーザーの設定を紹介します,加载用于新用户的初始设置值,Memperkenalkan pengaturan untuk pengguna pertama,Загрузите значение настройки для первого пользователя,Apresente as configurações para o primeiro usuário,Завантаження налаштувань для нових користувачів
,Set Default Tab,기본설정 탭을 시작 화면으로 설정,Set the default General tab to the start screen,[デフォルト設定]タブを[スタート]画面に設定します,将默认设置选项卡设置为启动界面,Atur tab Pengaturan Default ke Layar Mulai,Установите вкладку «Настройка по умолчанию» на экран запуска,Defina a guia Configuração padrão na tela Iniciar,Встановіть вкладку Налаштування як початковий екран
,Common Next,다음,Next,次,下一个,Berikutnya,следующий,próximo,Далі
,Common Add,추가,Add,添加,添加,tambahan,добавление,Adição,Додати
,Common Remove,제거,Remove,排除,删除,menghapuskan,устранять,eliminar,Видалити
,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,
,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,
100,Tab Basic,기본설정,General,標準設定,基本设置,Pengaturan dasar,Базовая настройка,Configuração básica,Уподобання
,Tab Text,텍스트,Text,文章,文本,teks,текст,texto,Текст
,Tab Extra,부가설정,Additional,追加の設定,附加设置,Pengaturan tambahan,Дополнительная настройка,Configuração adicional,Додаткові налаштування
,Tab Translation,번역설정,Translation,翻訳設定,翻译设置,Pengaturan terjemahan,Настройка перевода,Configuração de tradução,Налаштування перекладу
,Tab ETC,그 외,ETC,等,其它,dll.,и т. д.,etc.,ETC
,Tab Quick Setting,빠른설정,"Quick
Setting",高速設定,快速设置,Pengaturan cepat,Быстрая настройка,Configuração rápida,Швидкі налаштування
,Tab Debuging,디버깅,Debugging,デバッグ,调试,Debugging,Отладка,Depuração,Налагодження
,Panel Translate,번역 설정,Translation setting,翻訳設定,翻译设置,Pengaturan terjemahan,Настройка перевода,Configuração de tradução,Налаштування перекладу
,Panel Adjust Img,이미지 보정,Image Adjust,画像補正,图像校正,Koreksi Gambar,Коррекция изображения,Correção da imagem,Калібрування зображення
,Show OCR Result,OCR 결과 출력,OCR results output,OCRの結果出力,OCR结果输出,Output hasil OCR,Результаты OCR,Resultados do OCR Saída,Виведення результатів розпізнавання
,Save OCR Result,OCR 결과 저장,Save OCR results,OCRの結果を保存します,OCR结果保存,Simpan hasil OCR,Сохранение результатов,Salvar os resultados do OCR,Збереження результатів розпізнавання
,OCR Clipboard,클립보드에 저장,Save to the clipboard,クリップボードを保存します,保存到剪贴板,Simpan di clipboard,Буфер обмена,Salvar na área de transferência,Збереження в буфер обміну
,Common Language,언어,language,言語,语言,bahasa,язык,linguagem,Мова
,Easy OCR Install Button,Easy OCR 설치,Easy OCR installation,Easy OCRのインストール,Easy OCR 安装,Instalasi Easy OCR,Easy OCR установка,Easy OCR Instalação,Easy OCR -установка
,Easy OCR Require Instal,상태 : 설치 필요,Status: Need to install,ステータス：インストールする必要があります,状态：需要安装,Status: Perlu menginstal,Статус: нужно установить,Status: precisa instalar,Статус: Потрібно встановити
,Easy OCR Ready,상태 : 사용 가능,Status: available,ステータス：利用可能,状态：可用,Status: Tersedia,Статус: Доступно,Status: disponível,Статус: Доступно
,Easy OCR Require Install Title,설치 필요,Need to be installed,インストールする必要があります,需要安装,Perlu diinstal,Нужно установить,Precisa ser instalado,Потрібно встановити
,Easy OCR Require Install Message,"Easy OCR이 설치되어있지 않습니다.
설치 하시겠습니까?","Easy OCR is not installed.
Would you like to install?","Easy OCRはインストールされていません。
インストールしますか？","不安装Easy OCR。
您想安装吗？","OCR mudah tidak diinstal.
Apakah Anda ingin menginstal?","Легкий OCR не установлен.
Хотели бы вы установить?","O OCR fácil não está instalado.
Você gostaria de instalar?","Простий OCR не встановлюється.
Ви хотіли б встановити?"
,Easy OCR Basic Install Button,기본 설치,Basic installation,基本的なインストール,基本安装,Instalasi dasar,Основная установка,Instalação básica,Основна установка
,Easy OCR Gpu Install Button,GPU 가속 버전으로 설치 - CUDA 필요,Installed with GPU acceleration -CUDA required,GPU Acceleration -Cudaが必要なインストールが必要です,使用GPU加速-CUDA安装,Diinstal dengan akselerasi GPU -Cuda diperlukan,Установлено с помощью графического процессора -ускорения -куда требуется,Instalado com aceleração da GPU -CUDA necessária,Встановлено з необхідною прискоренням GPU
,Easy OCR Install Guide,사용법 확인,Confirmation of usage,使用法の確認,确认用法,Konfirmasi Penggunaan,Подтверждение использования,Confirmação do uso,Підтвердження використання
,Easy OCR Fore Install Check Box,강제 재설치,Forced,強制,强迫,Dipaksa,Принужденный,Forçado,Вимушений
,Select Cuda,CUDA 선택,CUDA selection,CUDA選択,CUDA选择,Seleksi CUDA,Выбор CUDA,Seleção de Cuda,Вибір CUDA
,Select Gpu Command,명령어 직접 입력,Direct input command,直接入力コマンド,直接输入命令,Perintah input langsung,Команда прямого ввода,Comando de entrada direta,Команда прямого введення
,Select Cuda Version,CUDA 버전,CUDA version,CUDAバージョン,CUDA版本,Versi CUDA,CUDA версия,Versão CUDA,Версія Cuda
,Install Easy OCR Cuda,설치,installation,インストール,安装,instalasi,монтаж,instalação,встановлення
,Input Command Line,명령어,command,指示,命令,memerintah,командование,comando,командування
,Install Easy OCR Warning Message,"설치하는데 1.5GB 여유 공간이 필요하며 5분 이상 소요될 수 있습니다.
설치를 진행 하시겠습니까?","1.5GB free space is required to install and may take more than 5 minutes.
Would you like to install the installation?","インストールには1.5GBの空きスペースが必要であり、5分以上かかる場合があります。
インストールをインストールしますか？","需要安装1.5GB的空间，并且可能需要超过5分钟。
您想安装安装吗？","Ruang bebas 1.5GB diperlukan untuk menginstal dan dapat memakan waktu lebih dari 5 menit.
Apakah Anda ingin menginstal instalasi?","Для установки требуется свободное пространство 1,5 ГБ и может занять более 5 минут.
Хотите установить установку?","O espaço livre de 1,5 GB é necessário para instalar e pode levar mais de 5 minutos.
Você gostaria de instalar a instalação?","1,5 Гб вільний простір необхідний для встановлення і може зайняти більше 5 хвилин.
Ви хотіли б встановити установку?"
,Unavailable Python Force Delete Message,"파이썬 모듈이 활성화 되어서 강제 재설치를 할 수 없습니다.
MORT를 재실행한 후 진행해 주시기 바랍니다.","Python modules are activated and cannot be reinstalled.
Please proceed after re -executing MORT.","Pythonモジュールがアクティブ化されており、再インストールできません。
Mortを再解釈した後、続行してください。","Python模块被激活，无法重新安装。
请在重新执行Mort后继续前进。","Modul Python diaktifkan dan tidak dapat diinstal ulang.
Silakan lanjutkan setelah re -executing mort.","Модули Python активируются и не могут быть переустановлены.
Пожалуйста, продолжайте после повторного выполнения Mort.","Os módulos Python são ativados e não podem ser reinstalados.
Por favor, prossiga após re -executar Mort.","Модулі Python активуються і не можуть бути перевстановлені.
Будь ласка, продовжуйте після повторного виконання MOT."
,Start Install Easy OCR,Easy OCR 설치 시작 - 5분 이상 소요될 수 있습니다.,Easy OCR Installation Start -5 minutes or more.,簡単なOCRのインストール開始-5分以上。,简单的OCR安装开始-5分钟或更长时间。,Instalasi OCR Mudah Mulai -5 menit atau lebih.,Легкая установка OCR запускается -5 минут или более.,Fácil instalação de OCR inicia -5 minutos ou mais.,Легкий установка OCR запуск -5 хвилин або більше.
,End Install Easy OCR,Easy OCR 설치 완료,Easy OCR installation completed,簡単なOCRのインストールが完了しました,简单的OCR安装完成,Instalasi OCR mudah selesai,Легкая установка OCR завершена,Instalação fácil de OCR concluída,Легка установка OCR завершена
,Install Easy OCR Complete Message,Easy OCR 설치가 완료 되었습니다.,Easy OCR installation has been completed.,簡単なOCRのインストールが完了しました。,简单的OCR安装已完成。,Instalasi OCR yang mudah telah selesai.,Легкая установка OCR была завершена.,A instalação fácil do OCR foi concluída.,Легка установка OCR завершена.
,Failed Install Easy OCR,Easy OCR 설치 실패 - ,Easy OCR installation failure-,簡単なOCRのインストールの失敗 - ,轻松的OCR安装失败 - ,Kegagalan instalasi OCR yang mudah-,Easy OCR установка сбоя-,Falha fácil de instalação de OCR-,Легка несправність встановлення OCR-
,,,,,,,,,
,Google OCR API Setting,API 설정,API setting,API設定,API设置,Pengaturan API,Настройка API,Configuração da API,Налаштування API
,Google OCR Information,스냅샷 / 한 번만 번역하기에서만 사용 가능합니다,Snapshot / It can only be used in translation only once,snapshot /翻訳では1回だけ使用できます,仅在截屏/一次翻译模式下可用,Snapshot / hanya dapat digunakan dalam terjemahan hanya sekali,Снимок / его можно использовать только в переводе только один раз,Snapshot / só pode ser usado na tradução apenas uma vez,Доступно лише для Snapshot / Перекласти один раз
,NHOCR Info,"특정 상황에 한해서만 Tesseract OCR 보다 인식이 잘됩니다.
가능하면 Tessract이나 WinOCR을 사용해 주세요","Only in certain situations is better than TESSERACT OCR.
If possible, please use TESSRACT or WINOCR","特定の状況でのみ、Tesseract OCRよりも優れています。
可能であれば、TessractまたはWinocrを使用してください","仅在特定情况下，识别效果比Tesseract OCR好。
如果可能，请使用Tessract或WinOCR","Hanya dalam situasi tertentu yang lebih baik daripada Tesseract OCR.
Jika memungkinkan, silakan gunakan Tessract atau Winocr","Только в определенных ситуациях лучше, чем Tesseract OCR.
Если возможно, используйте Tessract или Winocr","Somente em determinadas situações é melhor que o TESSERACT OCR.
Se possível, use Tessract ou Winocr","Розпізнає краще, ніж Tesseract OCR, лише в певних ситуаціях.
Будь ласка, використовуйте Tessract або WinOCR, коли це можливо"
,Fast Tesseract,"고속 모드 (빠르나 정확도가 떨어짐, Tesseract 전용)","High -speed mode (fast or accuracy is reduced, tesseract dedicated)",高速モード（高速または精度が低下し、テッセラクト専用）,快速模式（速度快但准确率较低，仅限于Tesseract）,"Mode berkecepatan tinggi (cepat atau akurasi dikurangi, berdedikasi Tesseract)","Режим высокой скорости (быстрый или точность снижается, выделен тел)","Modo de alta velocidade (Fast ou precisão é reduzida, TESSERACT dedicada)","Швидкий режим (швидший, але менш точний, лише для Tesseract)"
,Tesseract Language,추출 언어,Language,抽出言語,提取语言,Bahasa ekstraksi,Язык извлечения,Linguagem de extração,Мова розпізнавання
,OCR Tesseract,Tesseract - 기본,Tesseract -Basic,Tesseract -Basic,Tesseract - 默认,Tesseract -basic,Tesseract -Basic,TESSERACT -BASIC,Tesseract - за замовчуванням
,OCR Win OCR,Win OCR - 추천,WIN OCR -Recommended,OCRを獲得 - 推奨,Win OCR - 推荐,Menangkan OCR -Monisasi,Выиграть OCR -Recommed,Ganhe OCR -Recomped,Win OCR - рекомендовано
,OCR NHocr,NHocr - 일본어 전용,NHOCR -Japanese only,nhocr-日本のみ,NHocr - 仅限日语,NHOCR -Jepang saja,Только нхок -японский,Somente Nhocr -Japanese,NHocr - лише японська
,OCR Google,Google - 스냅샷 전용,Google -Snapshot only,Google -Snapshotのみ,Google - 仅限截屏,Google -snapshot saja,Google -SnapShot только,Google -Snapshot Somente,Google - лише знімки
,OCR Easy OCR,Easy OCR,Easy OCR,Easy OCR,Easy OCR,Easy OCR,Easy OCR,Easy OCR,Easy OCR
,Font Additional Seting,부가설정,Additional setting,追加の設定,附加设置,Pengaturan tambahan,Дополнительная настройка,Configuração adicional,Додаткові налаштування
,Font Center,가운데 정렬,Center alignment,中間アライメント,居中对齐,Alignment Tengah,Среднее выравнивание,Alinhamento do meio,Вирівнювання по центру
,Font Remove Space,OCR 결과 공백 제거,OCR result Remove Spaces,OCRの結果除去,去除OCR结果空白,Penghapusan Hasil OCR,Удаление результатов OCR,Remoção de resultados de OCR,Видаляти пробіли в результатах розпізнавання
,Font Use BackGround Color,배경색 사용,Use Background color,背景色の使用,使用背景色,Penggunaan Warna Latar Belakang,Использование цвета фона,Uso de cor de fundo,Використовувати колір фону
,Font Display Ocr Index,OCR 영역 번호 표시,Display OCR Area Index,OCRエリア番号インジケーター,显示OCR区域编号,Indikator Nomor Area OCR,Индикатор номера площади OCR,Indicador de número da área de OCR,Показувати номери областей розпізнавання
